user_id,movieId,rating
1,90106,1.6
1,150381,1.0
1,121969,2.3
1,158613,1.1
1,169454,1.3
1,198959,1.4
1,155392,1.6
1,174281,1.2
1,178987,4.1
1,164659,2.1
1,147010,2.3
1,97988,4.6
1,206479,1.6
1,185947,4.9
1,127033,1.5
1,152185,1.3
1,176505,4.5
1,154540,1.3
1,187825,1.5
1,170569,1.7
1,187659,4.8
1,146700,2.2
1,193868,2.1
1,168498,4.7
1,129865,1.2
1,121677,2.3
1,6125,4.5
1,145951,2.1
1,186203,1.2
1,153388,2.3
1,128259,4.3
1,128085,2.1
1,169304,1.8
1,94271,1.3
1,153728,1.4
1,146606,1.6
1,169624,1.6
1,185769,4.4
1,151145,4.8
1,102245,1.2
1,93320,1.5
1,71382,1.1
1,195649,1.5
1,179425,2.2
1,165309,1.2
1,147562,2.3
1,2981,4.7
1,134389,2.0
1,124893,1.7
1,6536,1.8
1,189569,1.2
1,27742,4.2
1,1924,4.4
1,1079,1.3
1,5394,2.0
1,117504,2.2
1,155466,2.0
1,171753,1.8
1,191239,1.6
1,95750,1.5
1,171033,1.4
1,137014,1.6
1,5584,2.4
1,26681,1.2
1,94278,1.3
1,134413,1.2
1,74677,4.4
1,196597,1.7
1,155288,1.6
1,170421,1.7
1,2619,1.8
1,198201,2.0
1,175881,1.3
1,145493,1.8
1,203517,1.8
1,114773,1.4
1,5001,2.2
1,137415,1.7
1,113380,1.7
1,88276,1.4
1,149986,1.2
1,6040,4.5
1,70088,2.3
1,4644,2.1
1,143543,4.5
1,172845,1.1
1,99444,2.4
1,137092,1.3
1,69569,2.4
1,132551,1.3
1,5013,1.3
1,85275,4.8
1,103030,2.3
1,187765,1.6
1,106581,1.3
1,185325,1.3
1,105943,4.1
1,2368,1.0
1,179961,2.4
1,3185,2.0
1,203699,4.7
1,151997,2.1
1,56490,4.1
1,185565,1.5
1,146128,4.8
1,150393,1.9
1,2034,1.5
1,146902,4.0
1,53883,4.1
1,104298,4.5
1,1477,2.2
1,126781,1.2
1,93618,1.2
1,197045,1.4
1,183395,4.4
1,206821,4.0
1,200894,1.9
1,151337,1.9
1,94917,1.7
1,189277,2.0
1,144694,2.2
1,5605,1.5
1,194819,1.7
1,117146,2.1
1,48770,1.1
1,79723,1.9
1,117694,2.4
1,642,1.5
1,81758,4.1
1,132364,1.2
1,137030,1.0
1,110763,1.7
1,72777,4.9
1,25840,1.3
1,26699,1.6
1,1884,1.9
1,74827,1.5
1,135951,4.6
1,156303,2.3
1,6402,2.0
1,139189,2.5
1,156377,1.8
1,26375,2.2
1,149626,1.7
1,197663,4.0
1,110070,4.1
1,2843,1.9
1,177645,5.0
1,174595,1.1
1,123687,2.4
1,1087,2.3
1,169480,2.3
1,144170,2.0
1,3103,2.0
1,6915,2.0
1,146372,1.2
1,138304,2.2
1,38656,1.7
1,39048,1.8
1,109953,2.4
1,180105,1.8
1,184561,2.2
2,173241,4.2
2,160712,1.5
2,89990,1.4
2,197279,1.8
2,186777,4.7
2,89678,1.5
2,202085,4.5
2,157202,1.1
2,144308,1.2
2,58785,2.3
2,139213,1.5
2,111842,1.1
2,126927,2.0
2,7449,1.1
2,135414,1.3
2,193307,2.2
2,91797,4.8
2,146060,1.7
2,196393,1.1
2,65672,2.2
2,4796,4.9
2,2821,1.0
2,205475,2.3
2,157939,2.4
2,50533,1.5
2,107159,4.6
2,2937,4.8
2,160098,1.7
2,4952,4.2
2,101186,4.4
2,205473,1.8
2,113014,1.0
2,51927,2.1
2,149877,4.6
2,790,1.1
2,33861,4.1
2,203926,1.8
2,149786,4.0
2,72628,1.8
2,156276,4.6
2,7487,1.8
2,122155,1.9
2,160896,2.2
2,186935,1.3
2,179871,1.3
2,178535,2.3
2,124829,1.3
2,134730,4.3
2,46201,4.7
2,55274,2.0
